transaction_id,account_timestamp,amt,fee,transaction_details,transaction_timestamp,account_no
0,2021-06-25 21:47:48,701.4,14.9589,TYPE_1,2021-07-23 20:12:46,1
1,2021-04-09 02:42:41,1870.4,14.9589,TYPE_1,2021-08-20 14:37:06,2
4,2021-04-12 23:57:14,70140.0,11.9369,TYPE_1,2021-08-13 19:01:56,3
5,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-07-01 14:25:54,4
9,2021-06-02 18:02:26,2256.17,14.9589,TYPE_1,2021-06-04 17:37:23,5
10,2021-03-11 04:07:59,2314.62,14.9589,TYPE_1,2021-06-10 19:50:01,6
11,2021-04-20 18:08:05,4886.42,14.9589,TYPE_1,2021-09-13 14:16:28,7
12,2020-11-15 20:29:49,0.02338,0.0,TYPE_3,2021-03-10 13:58:40,8
13,2021-07-22 14:34:54,3225.55156,0.0,TYPE_2,2021-12-10 18:23:54,9
14,2021-06-18 02:28:26,16.085440000000002,0.0,TYPE_4,2021-10-05 18:46:27,10
16,2021-03-14 16:41:18,7247.8,14.9589,TYPE_1,2021-07-13 17:18:11,11
18,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-06-24 13:47:48,4
21,2021-03-03 20:05:04,4652.62,14.9589,TYPE_1,2021-07-02 14:24:05,12
24,2021-06-18 20:53:09,2378.5409200000004,0.0,TYPE_4,2021-09-04 04:49:03,13
28,2021-02-26 23:15:56,3740.8,14.9589,TYPE_1,2021-08-20 15:21:24,4
29,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-05-12 12:26:48,4
31,2021-05-05 13:31:52,5026.7,14.9589,TYPE_1,2021-05-05 15:15:32,14
34,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-05-24 15:14:37,4
35,2021-06-04 16:17:00,5774.860000000001,14.9589,TYPE_1,2021-07-02 15:21:11,15
37,2020-11-15 20:29:49,0.02338,0.0,TYPE_3,2021-03-10 14:04:33,8
38,2021-06-21 21:59:51,6312.6,14.9589,TYPE_1,2021-06-24 13:20:10,16
40,2021-06-18 00:06:48,4676.0,14.9589,TYPE_1,2021-08-16 18:19:00,17
44,2021-03-13 03:37:59,1987.3,14.9589,TYPE_1,2021-05-26 17:10:03,18
46,2020-11-15 20:29:49,0.02338,0.0,TYPE_3,2021-03-10 14:04:47,8
47,2021-03-26 00:49:45,2338.0,14.9589,TYPE_1,2021-08-18 19:04:13,19
49,2021-04-12 23:57:14,46760.0,11.9369,TYPE_1,2021-06-08 17:39:42,3
53,2021-02-26 23:15:56,4676.0,14.9589,TYPE_1,2021-06-02 16:55:13,4
56,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-07-15 12:39:59,4
59,2021-06-24 19:35:06,15.197000000000001,0.0,TYPE_4,2021-11-04 12:06:22,20
60,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-06-18 13:39:26,4
61,2021-03-19 18:41:37,23.380000000000003,14.9589,TYPE_1,2021-07-20 20:04:42,21
62,2021-06-11 17:53:07,1728.4833999999998,0.0,TYPE_2,2021-08-24 11:19:33,22
64,2021-08-13 15:53:46,1009.45488,0.0,TYPE_2,2021-09-10 20:35:29,23
66,2021-08-02 21:35:24,8035.706,1.49589,TYPE_3,2021-08-11 11:52:13,24
67,2021-04-05 19:11:16,11690.0,14.9589,TYPE_1,2021-05-10 15:10:42,25
68,2021-04-13 22:00:14,280.56,14.9589,TYPE_1,2021-08-27 13:10:24,26
69,2021-03-23 22:19:47,6990.8538,14.9589,TYPE_1,2021-07-02 12:56:01,27
70,2021-03-26 00:49:45,11690.0,14.9589,TYPE_1,2021-06-25 18:54:31,19
71,2021-04-19 02:14:03,11689.859719999999,14.9589,TYPE_1,2021-09-10 15:58:22,28
72,2020-11-15 20:29:49,20574.4,0.0,TYPE_1,2021-05-14 14:38:41,8
74,2021-05-20 01:41:49,9352.0,14.9589,TYPE_1,2021-08-25 16:15:17,29
75,2021-03-25 03:56:57,3507.0,0.0,TYPE_2,2021-06-24 14:20:45,30
76,2021-04-25 03:26:29,362.39,0.0,TYPE_3,2021-06-14 18:12:33,31
77,2021-05-11 00:15:56,2338.0,0.0,TYPE_2,2021-08-09 22:54:05,32
78,2021-05-22 18:39:44,11690.0,14.9589,TYPE_1,2021-07-23 16:20:58,33
79,2021-03-23 17:57:21,7014.0,14.9589,TYPE_1,2021-06-01 20:30:00,34
80,2021-05-25 16:01:18,4664.31,14.9589,TYPE_1,2021-07-26 13:02:42,35
82,2021-03-26 00:49:45,9352.0,14.9589,TYPE_1,2021-08-05 19:38:09,19
85,2021-03-04 20:55:54,3483.62,14.9589,TYPE_1,2021-07-08 17:04:03,36
86,2021-02-26 23:15:56,4676.0,14.9589,TYPE_1,2021-03-31 12:18:04,4
88,2021-07-15 21:19:40,1145.6200000000001,14.9589,TYPE_1,2021-07-16 15:08:36,37
89,2021-06-11 00:52:43,2338.0,14.9589,TYPE_1,2021-07-29 17:05:40,38
91,2021-08-03 03:21:55,11690.0,11.9369,TYPE_1,2021-08-04 18:13:50,39
93,2021-07-06 02:58:57,4875.1975999999995,14.9589,TYPE_1,2021-08-31 12:03:40,40
97,2021-03-11 18:52:05,12625.2,14.9589,TYPE_1,2021-08-03 18:19:47,41
98,2021-06-24 13:31:01,5728.1,14.9589,TYPE_1,2021-07-26 12:03:06,42
100,2021-03-26 00:49:45,11690.0,14.9589,TYPE_1,2021-05-11 14:22:22,19
102,2021-03-30 18:23:39,1566.64704,0.0,TYPE_2,2021-04-15 17:12:17,43
104,2021-03-16 19:25:29,9398.76,14.9589,TYPE_1,2021-05-17 15:20:02,44
107,2021-03-08 17:11:46,5845.0,0.0,TYPE_2,2021-05-07 20:44:38,45
108,2021-03-30 18:18:02,7247.8,14.9589,TYPE_1,2021-05-03 14:03:24,46
110,2021-03-31 23:31:26,4676.0,14.9589,TYPE_1,2021-05-04 20:44:17,47
112,2021-04-09 14:22:08,9768.3978,45.33,TYPE_1,2021-04-27 13:19:43,48
113,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-08-24 12:48:06,4
114,2020-11-15 20:29:49,0.02338,0.0,TYPE_3,2021-04-23 18:46:04,8
116,2021-03-22 19:19:58,9012.99,1.49589,TYPE_3,2021-05-19 14:49:35,49
119,2021-03-30 18:23:39,1147.7241999999999,0.0,TYPE_2,2021-07-29 19:54:46,43
120,2021-03-22 19:19:58,3364.382,0.0,TYPE_2,2021-05-06 20:38:05,49
122,2021-05-03 19:48:03,4652.8538,14.9589,TYPE_1,2021-08-02 20:37:46,50
123,2021-05-27 02:40:27,2314.62,14.9589,TYPE_1,2021-08-02 12:27:31,51
124,2021-07-16 02:21:24,3483.62,14.9589,TYPE_1,2021-08-16 13:42:02,52
125,2021-05-24 18:11:45,4652.62,14.9589,TYPE_1,2021-07-07 18:29:00,53
127,2021-05-19 23:34:55,465.96340000000004,0.0,TYPE_2,2021-07-20 20:22:06,54
128,2021-05-27 13:28:04,11690.0,0.0,TYPE_3,2021-05-28 12:30:25,55
129,2021-04-13 21:09:03,9634.430400000001,14.9589,TYPE_1,2021-07-19 14:14:27,56
130,2021-06-23 16:51:40,165.99800000000002,0.0,TYPE_4,2021-10-05 17:29:38,57
133,2021-03-22 19:19:58,405.33906,0.0,TYPE_2,2021-05-04 13:01:34,49
134,2021-05-14 19:09:33,11690.0,14.9589,TYPE_1,2021-05-26 15:27:18,58
135,2021-04-23 21:42:50,1975.6100000000001,0.0,TYPE_2,2021-06-23 18:50:47,59
138,2021-07-22 20:17:23,10521.0,14.9589,TYPE_1,2021-07-30 12:16:39,60
140,2021-02-26 23:15:56,5845.0,14.9589,TYPE_1,2021-08-25 16:15:56,4
141,2021-02-26 23:15:56,3997.98,14.9589,TYPE_1,2021-08-25 15:30:01,4
142,2021-06-14 12:55:13,11222.4,14.9589,TYPE_1,2021-06-23 14:57:38,61
143,2021-05-19 02:51:51,11690.0,14.9589,TYPE_1,2021-05-21 14:30:03,62
145,2021-04-06 16:45:49,11690.0,14.9589,TYPE_1,2021-08-11 17:31:00,63
146,2021-02-26 23:15:56,9569.434000000001,14.9589,TYPE_1,2021-04-16 18:25:44,4
147,2021-06-23 18:34:45,6943.860000000001,14.9589,TYPE_1,2021-06-23 17:39:19,64
150,2021-08-11 20:13:56,444.22,14.9589,TYPE_1,2021-09-10 21:03:48,65
151,2021-03-30 18:23:39,1900.0926000000002,0.0,TYPE_2,2021-08-30 18:23:28,43
152,2021-02-26 23:15:56,4676.0,14.9589,TYPE_1,2021-04-22 17:57:05,4
153,2021-05-11 03:41:01,2338.0,14.9589,TYPE_1,2021-08-13 12:28:42,66
156,2021-03-05 14:48:52,14355.32,14.9589,TYPE_1,2021-05-14 12:47:11,67
157,2021-07-12 15:16:27,1287.44308,0.0,TYPE_2,2021-11-26 18:25:14,68
158,2021-05-13 18:55:10,11222.4,14.9589,TYPE_1,2021-06-11 18:24:01,69
160,2021-06-24 13:31:01,11685.324,14.9589,TYPE_1,2021-07-05 11:41:15,42
162,2021-03-22 16:44:49,1519.7,0.0,TYPE_1,2021-04-07 14:33:54,70
163,2021-06-18 21:13:07,467.6,0.0,TYPE_4,2021-12-01 23:06:04,71
164,2021-03-09 02:01:59,25484.2,14.9589,TYPE_1,2021-07-07 19:30:29,72
167,2021-06-18 02:28:26,233.8,0.0,TYPE_4,2021-10-05 16:03:42,10
168,2021-06-18 22:56:49,1286.2507,0.0,TYPE_4,2021-09-21 16:02:49,73
172,2021-02-26 23:15:56,5845.0,14.9589,TYPE_1,2021-08-11 20:01:41,4
179,2021-07-27 11:46:27,356.45148,0.0,TYPE_2,2021-07-27 21:05:05,74
181,2021-06-28 16:50:03,4652.62,14.9589,TYPE_1,2021-09-03 17:48:36,75
183,2021-04-12 23:57:14,18470.2,11.9369,TYPE_1,2021-05-20 19:47:53,3
185,2021-03-03 00:47:48,1356.5076000000001,14.9589,TYPE_1,2021-04-08 20:04:28,76
186,2021-05-03 01:50:35,1145.6200000000001,14.9589,TYPE_1,2021-05-28 16:40:56,77
187,2021-02-26 23:15:56,2338.0,14.9589,TYPE_1,2021-05-18 14:53:19,4
188,2021-03-17 20:37:21,6780.2,14.9589,TYPE_1,2021-03-29 14:33:19,78
189,2021-03-12 20:10:05,11690.0,14.9589,TYPE_1,2021-09-01 20:01:15,79
190,2021-05-20 22:10:51,2314.62,14.9589,TYPE_1,2021-06-23 14:17:23,80
192,2021-03-25 16:25:11,11690.0,1.49589,TYPE_3,2021-07-13 13:10:53,81
